Date,Close,High,Low,Open,Volume
2024-04-09,46.25,48.5,42.75,48.0,75701390
2024-04-10,46.0,47.75,45.5,46.75,17387450
2024-04-11,44.5,46.75,43.75,46.0,11758290
2024-04-17,42.75,43.5,42.25,42.75,8331933
2024-04-18,42.25,43.25,39.0,43.25,9289481
2024-04-19,41.5,42.25,40.5,40.5,3620665
2024-04-22,43.25,43.5,41.25,42.0,3444019
2024-04-23,43.5,44.25,43.0,43.5,1013932
2024-04-24,43.75,44.0,43.25,44.0,798816
2024-04-25,44.0,44.5,43.5,43.5,1060125
2024-04-26,43.25,45.0,43.25,44.0,1840229
2024-04-29,43.25,43.5,42.5,43.5,1420614
2024-04-30,43.0,43.75,42.75,43.5,584327
2024-05-02,42.75,43.5,42.5,43.0,1027881
2024-05-03,43.25,43.75,42.75,43.5,558009
2024-05-07,42.75,43.5,42.5,43.0,790700
2024-05-08,42.5,43.0,41.75,43.0,834725
2024-05-09,41.5,43.0,41.5,42.75,882922
2024-05-10,43.0,43.5,41.5,41.5,1303674
2024-05-13,44.5,44.5,42.25,42.75,1629833
2024-05-14,44.75,45.25,43.5,44.25,2084317
2024-05-15,53.0,53.0,47.5,47.5,17734300
2024-05-16,55.0,57.25,52.0,53.0,10993580
2024-05-17,56.75,57.5,54.5,55.25,3015016
2024-05-20,57.75,58.5,55.5,56.5,2445543
2024-05-21,56.5,57.75,55.5,57.5,1817685
2024-05-23,55.5,57.5,55.25,56.0,1380173
2024-05-24,57.0,57.0,55.25,55.25,1931165
2024-05-27,56.5,57.75,55.75,57.25,1228219
2024-05-28,54.0,56.75,54.0,56.5,3047571
2024-05-29,55.25,56.25,54.25,54.25,1526039
2024-05-30,57.0,57.75,54.5,55.0,2660239
2024-05-31,55.25,57.5,54.75,57.0,3522798
2024-06-04,55.75,56.25,55.0,55.25,744318
2024-06-05,54.5,56.0,53.5,55.5,2223791
2024-06-06,54.0,55.25,53.5,54.75,842268
2024-06-07,54.25,55.75,54.25,54.5,1070654
2024-06-10,54.75,56.0,54.25,54.5,1097062
2024-06-11,54.0,54.75,52.75,54.75,1593961
