Date,Close,High,Low,Open,Volume
2024-02-15,36.774192810058594,37.019354095458986,36.03870895385742,36.28387023925781,15826200
2024-02-16,36.52903366088867,37.2645175601012,36.28387236115116,36.774194960626176,11447600
2024-02-19,36.774192810058594,37.26451538085937,36.28387023925781,36.774192810058594,7879100
2024-02-20,36.52903366088867,36.774194960626176,36.28387236115116,36.774194960626176,7370600
2024-02-21,38.24516296386719,38.24516296386719,36.283872555463745,36.529033856514175,28587800
2024-02-22,38.0,38.49032258064515,37.754838709677415,38.0,10344700
2024-02-23,38.0,38.25,37.25,38.0,11913800
2024-02-27,37.25,38.5,37.0,38.25,7936500
2024-02-28,37.75,38.25,36.75,37.0,12734200
2024-02-29,38.0,38.25,37.0,37.75,13218785
2024-03-01,37.25,37.75,37.0,37.5,9024000
2024-03-04,37.25,37.75,36.75,37.0,4857800
2024-03-05,37.25,37.25,36.75,37.0,4510500
2024-03-06,37.25,37.5,36.75,37.0,4069000
2024-03-07,37.0,37.5,36.75,37.25,5908900
2024-03-08,37.75,38.0,37.0,37.25,5756400
2024-03-11,37.75,38.0,37.5,37.75,4086400
2024-03-12,37.75,37.75,37.75,37.75,0
2024-03-13,39.0,39.0,37.25,37.5,17640900
2024-03-14,40.25,40.25,38.75,39.0,20583100
2024-03-15,40.25,40.25,40.25,40.25,0
2024-03-18,39.25,40.25,39.0,39.75,11303200
2024-03-19,39.0,40.0,38.5,39.25,15110300
2024-03-20,38.5,39.25,38.5,39.25,4051000
2024-03-21,39.25,39.5,38.75,39.0,6547500
2024-03-22,39.25,39.25,39.25,39.25,0
2024-03-25,39.0,39.25,38.5,39.0,3319500
2024-03-26,38.5,38.75,38.25,38.75,7235900
2024-03-27,38.5,39.0,38.25,38.25,5095500
2024-03-28,38.0,38.75,38.0,38.75,3640000
2024-03-29,38.25,38.75,38.0,38.0,4395800
2024-04-01,39.5,39.75,38.5,38.75,10767300
2024-04-02,40.25,40.5,39.25,39.5,16007200
2024-04-03,41.0,41.0,40.0,40.0,12704900
2024-04-04,40.0,41.0,39.75,41.0,17701800
