Date,Close,High,Low,Open,Volume
2024-02-15,42.149662017822266,42.63977436686671,41.65954966877782,42.63977436686671,10544000
2024-02-16,42.394718170166016,42.88483051895406,42.14966199577199,42.63977434456004,8562100
2024-02-19,42.88483047485352,43.12988664899554,42.14966195242745,42.39471812656947,12162000
2024-02-20,43.619998931884766,43.619998931884766,42.884830410560866,43.129886584335495,9540100
2024-02-21,43.86505508422851,43.86505508422851,42.88483038960889,43.374942736918705,14640700
2024-02-22,44.110111236572266,44.355167410108784,43.37494271596273,43.865055063035754,9666500
2024-02-23,44.110111236572266,44.600223583645295,43.865055063035754,44.355167410108784,6347500
2024-02-27,43.619998931884766,44.355167453208665,43.619998931884766,44.11011127943403,8480400
2024-02-28,43.75,44.0,43.5,43.75,3434400
2024-02-29,43.0,43.75,43.0,43.75,11517400
2024-03-01,42.75,43.5,42.75,43.0,10256300
2024-03-04,42.0,43.0,42.0,42.5,15647800
2024-03-05,42.5,42.5,41.5,41.75,7207600
2024-03-06,42.75,43.25,42.25,42.5,9751800
2024-03-07,43.0,43.25,42.75,43.0,4530100
2024-03-08,44.75,44.75,43.25,43.25,21871500
2024-03-11,45.0,45.25,44.5,44.75,8349800
2024-03-12,45.0,45.0,45.0,45.0,0
2024-03-13,44.75,45.5,44.5,45.5,11075400
2024-03-14,45.25,45.25,44.5,44.75,11483100
2024-03-15,45.5,45.75,44.75,44.75,14987800
2024-03-18,45.0,45.5,44.75,45.5,8176200
2024-03-19,44.75,45.5,44.75,45.25,7106600
2024-03-20,44.5,45.0,44.25,44.75,7236000
2024-03-21,45.0,45.25,44.75,45.0,7681200
2024-03-22,45.0,45.0,45.0,45.0,0
2024-03-25,44.5,45.25,44.0,45.0,10047200
2024-03-26,44.25,44.75,43.5,44.25,17307300
2024-03-27,43.5,44.5,43.5,44.25,11669300
2024-03-28,43.75,44.25,43.75,44.0,10119500
2024-03-29,43.75,44.25,43.75,44.0,4792200
2024-04-01,43.75,44.25,43.5,44.0,9223400
