Price,Close,High,Low,Open,Volume
Ticker,CPALL.BK,CPALL.BK,CPALL.BK,CPALL.BK,CPALL.BK
Date,,,,,
2024-12-11,63.0,63.5,62.25,62.25,17455000
2024-12-12,62.25,63.0,62.25,63.0,16440600
2024-12-13,62.5,63.0,62.0,62.25,14931900
2024-12-16,59.0,60.0,57.0,57.0,111029200
2024-12-17,56.25,57.75,56.0,57.25,122917800
2024-12-18,56.5,57.5,55.25,57.0,79686100
2024-12-19,54.5,56.25,54.25,55.5,57122900
2024-12-20,53.5,54.5,53.0,54.0,70372000
2024-12-23,55.5,55.5,54.25,54.25,46327300
2024-12-24,56.75,57.25,56.0,56.0,38345200
2024-12-25,57.0,57.5,56.25,57.0,23858700
2024-12-26,56.5,57.25,56.25,56.75,18961800
2024-12-27,56.25,57.0,56.0,56.75,21932400
2024-12-30,55.75,56.5,55.5,56.25,21892800
2025-01-02,55.75,56.5,55.5,55.5,23841500
2025-01-03,56.25,56.25,55.5,56.0,16395300
2025-01-06,55.75,56.5,55.5,56.25,16905400
2025-01-07,56.25,56.5,55.5,55.75,25178000
2025-01-08,56.0,56.75,55.75,56.25,18858400
2025-01-09,55.25,56.0,55.0,56.0,25134400
2025-01-10,55.5,55.75,54.5,55.25,30537600
2025-01-13,54.5,55.0,54.25,55.0,18255700
2025-01-14,54.5,55.25,54.25,54.75,29332200
2025-01-15,55.75,55.75,54.0,54.5,36274000
2025-01-16,56.0,56.5,55.75,56.25,27363700
2025-01-17,55.5,57.0,55.5,56.0,34706700
2025-01-20,56.25,56.5,55.5,55.75,17376500
2025-01-21,56.75,57.5,56.5,56.75,26376300
2025-01-22,55.75,57.0,55.5,56.75,32096000
2025-01-23,55.25,56.0,55.0,55.75,19348900
2025-01-24,55.5,55.5,54.75,55.5,17609800
2025-01-27,55.75,56.0,55.25,55.5,18765800
2025-01-28,56.75,56.75,55.5,55.75,43459800
2025-01-29,56.5,57.0,56.25,57.0,10813000
2025-01-30,56.5,57.25,56.5,56.5,15045800
2025-01-31,52.0,55.5,51.25,55.25,183484900
2025-02-03,52.5,52.75,47.25,49.0,98109600
2025-02-04,51.75,52.5,51.25,52.5,93833200
2025-02-05,50.0,51.75,49.25,51.5,100278100
2025-02-06,47.5,50.0,46.75,49.5,154219900
2025-02-07,50.0,50.25,47.25,48.0,130291100
